,filter_name,filter_value,filter_grouping_label,provider_country_name
1,tax_year,2016/2017,NA,NA
2,tax_year,2017/2018,NA,NA
3,tax_year,2018/2019,NA,NA
4,tax_year,2019/2020,NA,NA
5,tax_year,2020/2021,NA,NA
6,tax_year,2021/2022,NA,NA
7,tax_year,2022/2023,NA,NA
8,tax_year,2023/2024,NA,NA
9,academic_year,2010/2011,NA,NA
10,academic_year,2011/2012,NA,NA
11,academic_year,2012/2013,NA,NA
12,academic_year,2013/2014,NA,NA
13,academic_year,2014/2015,NA,NA
14,academic_year,2015/2016,NA,NA
15,academic_year,2016/2017,NA,NA
16,academic_year,2017/2018,NA,NA
17,academic_year,2018/2019,NA,NA
18,academic_year,2019/2020,NA,NA
19,academic_year,2020/2021,NA,NA
20,academic_year,2021/2022,NA,NA
21,YAG,1,NA,NA
22,YAG,3,NA,NA
23,YAG,5,NA,NA
24,home_region_name,Total,NA,NA
25,provider_country_name,Total,NA,NA
26,provider_country_name,England,NA,NA
27,provider_country_name,Scotland,NA,NA
28,provider_country_name,Wales,NA,NA
29,provider_region_name,East Midlands,NA,NA
30,provider_region_name,East of England,NA,NA
31,provider_region_name,London,NA,NA
32,provider_region_name,North East,NA,NA
33,provider_region_name,North West,NA,NA
34,provider_region_name,South East,NA,NA
35,provider_region_name,South West,NA,NA
36,provider_region_name,Total,NA,NA
37,provider_region_name,West Midlands,NA,NA
38,provider_region_name,Yorkshire and The Humber,NA,NA
39,provider_type,AP,NA,NA
40,provider_type,FEC,NA,NA
41,provider_type,HEI,NA,NA
42,provider_name,AAP Education Limited,AP,England
43,provider_name,Abertay University,HEI,Scotland
44,provider_name,Aberystwyth University,HEI,Wales
45,provider_name,Abingdon and Witney College,FEC,England
46,provider_name,Academy of Live and Recorded Arts (ALRA),AP,England
47,provider_name,Academy of Live Technology Ltd,AP,England
48,provider_name,Access To Music Limited,AP,England
49,provider_name,Accrington and Rossendale College,FEC,England
50,provider_name,ACM Guildford Limited,AP,England
51,provider_name,Activate Learning,FEC,England
52,provider_name,AECC University College,HEI,England
53,provider_name,All Nations Christian College Limited,AP,England
54,provider_name,Amity Global Education Ltd,AP,England
55,provider_name,Anglia Ruskin University,HEI,England
56,provider_name,Architectural Association (Incorporated),AP,England
57,provider_name,Arden University Limited,HEI,England
58,provider_name,Arts University Bournemouth,HEI,England
59,provider_name,Arts University Plymouth,HEI,England
60,provider_name,Askham Bryan College,FEC,England
61,provider_name,Assemblies of God Incorporated,AP,England
62,provider_name,Aston University,HEI,England
63,provider_name,Aylesbury College,FEC,England
64,provider_name,Ballet West,AP,Scotland
65,provider_name,Bangor University,HEI,Wales
66,provider_name,Barking and Dagenham College,FEC,England
67,provider_name,Barnet and Southgate College,FEC,England
68,provider_name,Barnsley College,FEC,England
69,provider_name,Basingstoke College of Technology,FEC,England
70,provider_name,Bath College,FEC,England
71,provider_name,Bath Spa University,HEI,England
72,provider_name,Bedford College,FEC,England
73,provider_name,BIMM Limited,AP,England
74,provider_name,Birkbeck College,HEI,England
75,provider_name,Birmingham City University,HEI,England
